,F1,F2,F3
g01,0.15,0.41,0.62
g02,0.58,0.54,0.24
g03,0.52,0.41,0.47
g04,0.87,0.11,0.17
g05,0.44,0.7,0.09
g06,0.28,0.63,0.19
g07,0.53,0.3,0.26
g08,-0.13,0.56,0.5
g09,0.19,0.8,0.0
g10,0.25,-0.12,0.82
g11,0.86,0.2,0.1
g12,0.38,0.21,0.44
