,F1,F2,F3
g01,0.45,0.69,-0.01
g02,0.81,0.15,0.31
g03,0.72,0.22,0.12
g04,0.88,0.1,0.12
g05,0.46,0.62,0.27
g06,0.39,0.22,0.5
g07,-0.05,0.24,0.85
g08,0.37,-0.06,0.67
g09,0.55,0.15,0.52
g10,0.34,-0.42,0.41
g11,0.81,0.16,0.25
g12,0.09,0.78,0.2
