,F1,F2,F3
g01,0.71,0.33,-0.06
g02,0.82,0.13,0.27
g03,0.61,0.29,0.19
g04,0.72,-0.19,0.09
g05,0.36,0.73,-0.05
g06,0.1,0.1,0.8
g07,-0.1,0.64,0.02
g08,0.31,0.47,0.29
g09,0.09,0.81,0.21
g10,0.16,-0.08,0.73
g11,0.82,0.06,0.17
g12,0.12,0.3,0.68
